miete;mieteqm;flaeche;bjahr;bad;kueche;bezv;lage;zh
235.9;Jun 74;35;1939;0;0;1112;1;0
852.1;8.193.269;104;1939;1;0;1112;1;1
693.7;2.392.069;29;1971;0;0;2114;2;1
551.7;1.414.615;39;1972;0;0;2148;2;1
1574.1;1.622.783;97;1985;0;0;2222;1;1
941.5;1.518.548;62;1962;0;0;2222;1;1
631.2;2.036.129;31;1965;0;0;2211;1;1
723.4;1.185.902;61;1957.5;1;0;2142;2;1
728.7;1.012.083;72;1978;0;0;2143;1;1
1017.3;13.564;75;1968;0;0;2142;1;1
1256.2;1.932.615;65;1956;0;0;2113;2;1
1365.9;1.500.989;91;1984;0;0;1402;1;1
1523.2;15.232;100;1959;0;0;1516;1;1
804;25.125;32;1994.5;0;0;1541;1;1
644.1;1.006.406;64;1962;0;0;1123;1;1
479.5;7.611.111;63;1929;0;0;1132;1;0
1086.2;1.054.563;103;1955;1;0;1111;1;1
828.7;1.135.205;73;1980;0;0;1133;1;1
643.9;1.073.167;60;1957;0;0;1123;1;1
570;9.827.586;58;1934;0;0;1133;1;0
650.4;20.325;32;1972;0;0;1134;1;1
628.4;7.758.025;81;1996;0;1;1212;1;1
361.7;927.436;39;1935;0;0;1132;1;1
920.5;8.523.149;108;1955;1;0;1111;1;1
1336.8;1.536.552;87;1979;1;1;2145;2;1
992.8;1.654.667;60;1939;0;0;2145;2;1
1343.5;10.748;125;1979;0;0;2412;1;1
400.4;597.612;67;1964;0;0;2314;1;0
719.1;898.875;80;1972;0;0;2314;1;1
1241;1.677.027;74;1957;0;0;2414;1;1
463.9;1.104.524;42;1962;0;0;2314;1;1
805.8;2.066.154;39;1996;0;0;2314;1;1
1649.9;1.833.222;90;1983;0;1;2144;2;1
732.6;9.157.499;80;1971;0;0;1012;1;1
643.3;1.569.024;41;1960;0;0;2421;1;1
592.4;1.004.068;59;1960;0;0;2421;1;1
1804.3;1.686.262;107;1918;0;0;231;2;1
